file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
KKR40-ST1,0,0,0.0,0.45,0.45,1.0,1,0.45,0.0,0.45,4.1e-05,0,
KKR40-ST1,1,0,1.65,2.03,0.38,1.0,1,0.38,1.65,2.03,1.9e-05,0,
KKR40-ST1,2,0,3.74,4.63,0.89,1.0,1,0.89,3.74,4.63,0.000276,0,
KKR40-ST1,3,0,5.36,5.56,0.2,1.0,1,0.2,5.36,5.56,6e-06,0,
KKR40-ST1,4,0,7.0,7.48,0.48,1.0,1,0.48,7.0,7.48,0.00153,0,
KKR40-ST1,6,0,13.95,14.16,0.21,1.0,1,0.21,13.95,14.16,2e-06,0,
KKR40-ST1,7,0,15.12,15.96,0.84,1.0,1,0.84,15.12,15.96,0.030292,0,
KKR40-ST1,8,0,16.71,17.39,0.68,1.0,1,0.68,16.71,17.39,0.000567,0,
KKR40-ST1,9,0,17.98,18.3,0.32,1.0,1,0.32,17.98,18.3,8.8e-05,0,
KKR40-ST1,10,0,19.07,19.55,0.48,1.0,1,0.48,19.07,19.55,0.007135,0,
KKR40-ST1,11,0,21.97,22.71,0.74,1.0,1,0.74,21.97,22.71,0.761843,1,
KKR40-ST1,12,0,23.84,24.07,0.23,1.0,1,0.23,23.84,24.07,1.6e-05,0,
KKR40-ST1,15,0,29.0,29.37,0.37,1.0,1,0.37,29.0,29.37,0.017626,0,
KKR40-ST1,17,0,35.14,35.78,0.64,1.0,1,0.64,35.14,35.78,0.024442,0,
KKR40-ST1,18,0,37.77,38.41,0.64,1.0,1,0.64,37.77,38.41,0.006824,0,
KKR40-ST1,19,0,39.84,40.82,0.98,1.0,1,0.98,39.84,40.82,0.159056,0,
KKR40-ST1,20,0,41.98,42.46,0.48,1.0,1,0.48,41.98,42.46,0.001746,0,
KKR40-ST1,21,0,43.17,43.91,0.74,1.0,1,0.74,43.17,43.91,0.002254,0,
KKR40-ST1,22,0,44.47,44.69,0.22,1.0,1,0.22,44.47,44.69,8e-06,0,
KKR40-ST1,24,0,47.8,47.98,0.18,1.0,1,0.18,47.8,47.98,3e-06,0,
KKR40-ST1,25,0,49.88,50.12,0.24,1.0,1,0.24,49.88,50.12,1.1e-05,0,
KKR40-ST1,26,0,51.82,52.22,0.4,1.0,1,0.4,51.82,52.22,0.000233,0,
KKR40-ST1,27,0,53.14,53.35,0.21,1.0,1,0.21,53.14,53.35,8e-06,0,
KKR40-ST1,28,0,54.59,55.15,0.56,1.0,1,0.56,54.59,55.15,0.065946,0,
KKR40-ST1,29,0,57.79,58.4,0.61,1.0,1,0.61,57.79,58.4,0.487101,0,
KKR40-ST1,30,0,63.25,63.44,0.19,1.0,1,0.19,63.25,63.44,5e-06,0,
KKR40-ST1,32,0,66.17,66.46,0.29,1.0,1,0.29,66.17,66.46,0.000653,0,
KKR40-ST1,33,0,69.21,69.39,0.18,1.0,1,0.18,69.21,69.39,3e-06,0,
KKR40-ST1,34,0,70.3,70.68,0.38,1.0,1,0.38,70.3,70.68,0.000574,0,
KKR40-ST1,35,0,71.46,71.71,0.25,1.0,1,0.25,71.46,71.71,2e-06,0,
KKR40-ST1,36,0,73.11,73.64,0.53,1.0,1,0.53,73.11,73.64,0.000988,0,
KKR40-ST1,37,0,75.29,76.22,0.93,1.0,1,0.93,75.29,76.22,0.781296,1,
KKR40-ST1,38,0,77.38,77.78,0.4,1.0,1,0.4,77.38,77.78,7e-06,0,
KKR40-ST1,39,0,79.16,79.4,0.24,1.0,1,0.24,79.16,79.4,2e-05,0,
KKR40-ST1,40,0,80.01,80.15,0.14,1.0,1,0.14,80.01,80.15,1e-06,0,
KKR40-ST1,41,0,81.15,81.77,0.62,1.0,1,0.62,81.15,81.77,0.020792,0,
